Ligand 1;Ligand 2;Ligand 3;Ligand 4;Receptor 1;Receptor 2;Receptor 3;Receptor 4;Receptor 5;Alias;Family;Subfamily;Other family;Reference
TIMP1;MMP9;;;LRP1;;;;;;;;;11279011
LTB;LTA;;;LTBR;;;;;TNFSF3=LTB / TNFRSF3 = LTBR;Cytokine;TNF;;11239407
ITGAV;ITGB5;;;ADGRB1;;;;;;Cell adhesion;Adhesion GPCR;;"14980512 ; 28968187"
ITGAV;ITGB3;;;ADGRA2;;;;;;Cell adhesion;Adhesion GPCR;;"16982628 ; 28968187"
ITGAV;ITGB3;;;ADGRE5;;;;;;Cell adhesion;Adhesion GPCR;;15576472
ITGA5;ITGB1;;;ADGRE5;;;;;;Cell adhesion;Adhesion GPCR;;15576472
INHBA;INHBB;;;ACVR1B;ACVR2B;;;;;Cytokine;TGF;;"8622651; 8721982"
INHBA;INHBB;;;ACVR1C;ACVR2B;;;;;Cytokine;TGF;;"8622651; 8721982"
INHBA;INHBB;;;ACVR1B;ACVR2A;;;;;Cytokine;TGF;;"8622651; 8721982"
INHBA;INHBB;;;ACVR1C;ACVR2A;;;;;Cytokine;TGF;;"8622651; 8721982"
EBI3;IL27;;;IL27RA;IL6ST;;;;"IL30=IL27p28 ; IL27=IL27+EBI3";Cytokine;type 1;;"14764690 ; 9143707"
IL12B;IL23A;;;IL12RB1;IL23R;;;;;Cytokine;type 1;;12023369
IL12A;IL12B;;;IL12RB1;IL12RB2;;;;;Cytokine;type 1;;9143707
IL27;IL12A;;;IL27RA;IL12RB2;;;;IL12A=p35;Cytokine;type 1;;24743305
EBI3;IL12A;;;IL6ST;IL12RB2;;;;IL35 = IL12A + EBI3;Cytokine;type 1;;"22306691;  25919641"
IGHG1;IGLC1;;;FCGR2B;;;;;;Innate immune;;;10917521
IGHG1;IGLC1;;;FCGR3B;;;;;;Innate immune;;;10917521
BMP15;GDF9;;;BMPR1B;BMPR2;ACVR1B;;;GDF9b;Cytokine;TGF;;23382188
