"","ID","Sample","Dataset_description","Chip_ID","Series","Chip_description","PMID","Cell_description","Cell_type","Class"
"2","Hs.110.Embryonic_stem_cells.H1.r1","Embryonic_stem_cells:h1.1","Expression data from human embryonic stem cells","GSM225042","GSE9196","H1 embryonic stem cells","17999768","Embryonic_stem_cells","ESM","ESM"
"3","Hs.110.Embryonic_stem_cells.H9.r1","Embryonic_stem_cells:h9.1","Expression data from human embryonic stem cells","GSM230294","GSE9196","H9 embryonic stem cells","17999768","Embryonic_stem_cells","ESM","ESM"
"4","Hs.34.Embryonic_stem_cells.H7.","Embryonic_stem_cells:h7.1","H1L, H7, H9, H13B, and H14A embryonic stem cells","GSM347922","GSE13828","H7 ESC","19098894","Embryonic_stem_cells","ESM","ESM"
"5","Hs.34.Embryonic_stem_cells.H9.","Embryonic_stem_cells:h9.1","H1L, H7, H9, H13B, and H14A embryonic stem cells","GSM347923","GSE13828","H9 ESC","19098894","Embryonic_stem_cells","ESM","ESM"
"6","Hs.34.Embryonic_stem_cells.H13B.","Embryonic_stem_cells:h1.1","H1L, H7, H9, H13B, and H14A embryonic stem cells","GSM347924","GSE13828","H13B ESC","19098894","Embryonic_stem_cells","ESM","ESM"
"7","Hs.34.Embryonic_stem_cells.H14A.","Embryonic_stem_cells:h14a.1","H1L, H7, H9, H13B, and H14A embryonic stem cells","GSM347925","GSE13828","H14A ESC","19098894","Embryonic_stem_cells","ESM","ESM"
"8","Hs.40.Embryonic_stem_cells.H9.","Embryonic_stem_cells:h9.1","Human embryonic stem cells","GSM367062","GSE14711","H9 embryonic stem cells","19269371","Embryonic_stem_cells","ESM","ESM"
"9","Hs.40.Embryonic_stem_cells.BG01.","Embryonic_stem_cells:bg01.1","Human embryonic stem cells","GSM367061","GSE14711","BGO1 hESC","19269371","Embryonic_stem_cells","ESM","ESM"
"10","Hs.44.Embryonic_stem_cells.H1L.","Embryonic_stem_cells:h1.1","Human Embryonic Stem Cells","GSM378811","GSE15175","H1L ESC","19325077","Embryonic_stem_cells","ESM","ESM"
"11","Hs.72.Embryonic_stem_cells.BG01.r1","Embryonic_stem_cells:bg01.1","Human embryonic stem cells","GSM530602","GSE21222","BGO1 hESC","20442331","Embryonic_stem_cells","ESM","ESM"
