Sample.Name	Batch	Type	subset	Cancer	Cancer.subtype
S1	B73	T	S1	BC	LumA
S2	B73	T	S3	BC	LumA
S3	B73	T	S4	BC	LumA
S4	B86	T	S1	BC	TN
S5	B86	T	S3	BC	TN
S6	B86	T	S4	BC	TN
S7	B86	J	S1	BC	TN
S8	B86	J	S3	BC	TN
S9	B86	J	S4	BC	TN
S10	B86	T	S1	BC	LumA
S11	B86	T	S3	BC	LumA
S12	B86	T	S4	BC	LumA
S13	B86	J	S1	BC	LumA
S14	B86	J	S3	BC	LumA
S15	B86	J	S4	BC	LumA
S16	B86	J	S1	BC	LumA
S17	B86	J	S3	BC	LumA
S18	B86	J	S4	BC	LumA
S19	B86	T	S1	BC	LumA
S20	B86	J	S1	BC	LumA
S21	B86	T	S3	BC	LumA
S22	B86	T	S4	BC	LumA
S23	B86	T	S1	BC	LumA
S24	B86	J	S4	BC	LumA
S25	B103	J	S4	BC	TN
S26	B103	T	S1	BC	LumA
S27	B103	T	S2	BC	LumA
S28	B103	T	S3	BC	LumA
S29	B103	T	S4	BC	LumA
S30	B103	J	S1	BC	LumA
S31	B103	J	S3	BC	LumA
S32	B103	J	S4	BC	LumA
S33	B103	T	S1	BC	LumA
S34	B103	T	S3	BC	LumA
S35	B103	T	S4	BC	LumA
S36	B103	J	S3	BC	LumA
S37	B103	T	S1	BC	Mix_LumA_Lum_B
S38	B103	T	S3	BC	Mix_LumA_Lum_B
S39	B103	T	S4	BC	Mix_LumA_Lum_B
S40	B103	J	S1	BC	Mix_LumA_Lum_B
S41	B103	J	S3	BC	Mix_LumA_Lum_B
S42	B103	J	S4	BC	Mix_LumA_Lum_B
S43	B103	T	S1	BC	LumA
S44	B103	J	S1	BC	LumA
S45	B103	T	S1	BC	HER2
S46	B103	T	S3	BC	HER2
S47	B103	T	S1	BC	LumA
S48	B103	T	S3	BC	LumA
S49	B103	T	S4	BC	LumA
S50	B103	J	S1	BC	LumA
S51	B103	J	S3	BC	LumA
S52	B103	J	S4	BC	LumA
S53	B103	T	S1	BC	TN
S54	B103	T	S3	BC	TN
S55	B103	T	S4	BC	TN
S56	B103	J	S1	BC	TN
S57	B103	J	S3	BC	TN
S58	B103	J	S4	BC	TN
S59	B103	T	S1	BC	TN
S60	B103	T	S2	BC	TN
S61	B103	T	S3	BC	TN
S62	B103	J	S3	BC	TN
S63	B103	T	S1	BC	TN
S64	B103	T	S2	BC	TN
S65	B103	T	S3	BC	TN
S66	B103	T	S4	BC	TN
S67	B103	J	S1	BC	TN
S68	B103	J	S2	BC	TN
S69	B103	J	S3	BC	TN
S70	B123	T	S1	BC	TN
S71	B123	T	S3	BC	TN
S72	B123	J	S1	BC	TN
S73	B123	T	S1	BC	TN
S74	B123	T	S2	BC	TN
S75	B123	T	S3	BC	TN
S76	B123	J	S1	BC	TN
S77	B123	J	S3	BC	TN
